FreqPair,Paired,Metric,Comparison,Test,Statistic,p_value
10 Hz (S: 10),True,Average_PWR,Responder: t0 vs t2,Wilcoxon signed-rank,23.0,0.6953125
10 Hz (S: 10),True,Average_PWR,Non-responder: t0 vs t2,Wilcoxon signed-rank,8.0,0.6875
10 Hz (S: 10),False,Average_PWR,Responder vs Non-responder at t0,Mann-Whitney U,28.0,0.8748751248751249
10 Hz (S: 10),False,Average_PWR,Responder vs Non-responder at t2,Mann-Whitney U,25.0,0.6353646353646354
10 Hz (S: 10),True,Average_BASE,Responder: t0 vs t2,Wilcoxon signed-rank,27.0,1.0
10 Hz (S: 10),True,Average_BASE,Non-responder: t0 vs t2,Wilcoxon signed-rank,10.0,1.0
10 Hz (S: 10),False,Average_BASE,Responder vs Non-responder at t0,Mann-Whitney U,38.0,0.42782217782217785
10 Hz (S: 10),False,Average_BASE,Responder vs Non-responder at t2,Mann-Whitney U,44.0,0.14710289710289712
10 Hz (S: 10),True,Average_SNR,Responder: t0 vs t2,Wilcoxon signed-rank,21.0,0.556640625
10 Hz (S: 10),True,Average_SNR,Non-responder: t0 vs t2,Wilcoxon signed-rank,5.0,0.3125
10 Hz (S: 10),False,Average_SNR,Responder vs Non-responder at t0,Mann-Whitney U,24.0,0.5621878121878122
10 Hz (S: 10),False,Average_SNR,Responder vs Non-responder at t2,Mann-Whitney U,5.0,0.004745254745254745
12 Hz (S: 6),True,Average_PWR,Responder: t0 vs t2,Wilcoxon signed-rank,14.0,0.193359375
12 Hz (S: 6),True,Average_PWR,Non-responder: t0 vs t2,Wilcoxon signed-rank,9.0,0.84375
12 Hz (S: 6),False,Average_PWR,Responder vs Non-responder at t0,Mann-Whitney U,25.0,0.6353646353646354
12 Hz (S: 6),False,Average_PWR,Responder vs Non-responder at t2,Mann-Whitney U,30.0,1.0
12 Hz (S: 6),True,Average_BASE,Responder: t0 vs t2,Wilcoxon signed-rank,24.0,0.76953125
12 Hz (S: 6),True,Average_BASE,Non-responder: t0 vs t2,Wilcoxon signed-rank,6.0,0.4375
12 Hz (S: 6),False,Average_BASE,Responder vs Non-responder at t0,Mann-Whitney U,33.0,0.7924575424575424
12 Hz (S: 6),False,Average_BASE,Responder vs Non-responder at t2,Mann-Whitney U,29.0,0.9577922077922078
12 Hz (S: 6),True,Average_SNR,Responder: t0 vs t2,Wilcoxon signed-rank,17.0,0.322265625
12 Hz (S: 6),True,Average_SNR,Non-responder: t0 vs t2,Wilcoxon signed-rank,10.0,1.0
12 Hz (S: 6),False,Average_SNR,Responder vs Non-responder at t0,Mann-Whitney U,23.0,0.49225774225774227
12 Hz (S: 6),False,Average_SNR,Responder vs Non-responder at t2,Mann-Whitney U,34.0,0.7127872127872128
18 Hz (S: 6),True,Average_PWR,Responder: t0 vs t2,Wilcoxon signed-rank,5.0,0.01953125
18 Hz (S: 6),True,Average_PWR,Non-responder: t0 vs t2,Wilcoxon signed-rank,9.0,0.84375
18 Hz (S: 6),False,Average_PWR,Responder vs Non-responder at t0,Mann-Whitney U,30.0,1.0
18 Hz (S: 6),False,Average_PWR,Responder vs Non-responder at t2,Mann-Whitney U,40.0,0.31318681318681324
18 Hz (S: 6),True,Average_BASE,Responder: t0 vs t2,Wilcoxon signed-rank,18.0,0.375
18 Hz (S: 6),True,Average_BASE,Non-responder: t0 vs t2,Wilcoxon signed-rank,3.0,0.15625
18 Hz (S: 6),False,Average_BASE,Responder vs Non-responder at t0,Mann-Whitney U,42.0,0.2197802197802198
18 Hz (S: 6),False,Average_BASE,Responder vs Non-responder at t2,Mann-Whitney U,47.0,0.07267732267732269
18 Hz (S: 6),True,Average_SNR,Responder: t0 vs t2,Wilcoxon signed-rank,20.0,0.4921875
18 Hz (S: 6),True,Average_SNR,Non-responder: t0 vs t2,Wilcoxon signed-rank,10.0,1.0
18 Hz (S: 6),False,Average_SNR,Responder vs Non-responder at t0,Mann-Whitney U,19.0,0.26348651348651353
18 Hz (S: 6),False,Average_SNR,Responder vs Non-responder at t2,Mann-Whitney U,25.0,0.6353646353646354
20 Hz (S: 10),True,Average_PWR,Responder: t0 vs t2,Wilcoxon signed-rank,17.0,0.322265625
20 Hz (S: 10),True,Average_PWR,Non-responder: t0 vs t2,Wilcoxon signed-rank,8.0,0.6875
20 Hz (S: 10),False,Average_PWR,Responder vs Non-responder at t0,Mann-Whitney U,28.0,0.8748751248751249
20 Hz (S: 10),False,Average_PWR,Responder vs Non-responder at t2,Mann-Whitney U,30.0,1.0
