Frequency;Harmonic;Test;paired;statistic;Critical chi-squared;p_value
6;6;Wilcoxon signed-rank;True;52.0;Non-applicable;0.433197021484375
6;12;Wilcoxon signed-rank;True;65.0;Non-applicable;0.899932861328125
6;18;Wilcoxon signed-rank;True;27.0;Non-applicable;0.033538818359375
6;24;Wilcoxon signed-rank;True;43.0;Non-applicable;0.21142578125
6;30;Wilcoxon signed-rank;True;35.0;Non-applicable;0.09344482421875
6;36;Wilcoxon signed-rank;True;40.0;Non-applicable;0.1590576171875
10;10;Wilcoxon signed-rank;True;54.0;Non-applicable;0.49542236328125
10;20;Wilcoxon signed-rank;True;40.0;Non-applicable;0.1590576171875
10;30;Wilcoxon signed-rank;True;35.0;Non-applicable;0.09344482421875
10;40;Wilcoxon signed-rank;True;50.0;Non-applicable;0.375457763671875
20;20;Wilcoxon signed-rank;True;40.0;Non-applicable;0.1590576171875
20;40;Wilcoxon signed-rank;True;50.0;Non-applicable;0.375457763671875
