sample,previous,block,freq,rep
33886,0,1,6,1.0
34552,0,1,6,1.0
35217,0,1,6,1.0
35883,0,1,6,1.0
36549,0,1,6,1.0
37214,0,1,6,1.0
37880,0,1,6,1.0
38545,0,1,6,1.0
39211,0,1,6,1.0
39877,0,1,6,1.0
40542,0,1,6,1.0
41208,0,1,6,1.0
41873,0,1,6,1.0
42539,0,1,6,1.0
43205,0,1,6,1.0
43870,0,1,6,1.0
44536,0,1,6,1.0
45201,0,1,6,1.0
45867,0,1,6,1.0
46533,0,1,6,1.0
47198,0,1,6,1.0
47864,0,1,6,1.0
48529,0,1,6,1.0
49195,0,1,6,1.0
49861,0,1,6,1.0
50526,0,1,6,1.0
51192,0,1,6,1.0
51857,0,1,6,1.0
52523,0,1,6,1.0
53189,0,1,6,1.0
93854,0,2,10,1.0
94254,0,2,10,1.0
94654,0,2,10,1.0
95054,0,2,10,1.0
95454,0,2,10,1.0
95854,0,2,10,1.0
96254,0,2,10,1.0
96654,0,2,10,1.0
97054,0,2,10,1.0
97454,0,2,10,1.0
97854,0,2,10,1.0
98254,0,2,10,1.0
98654,0,2,10,1.0
99054,0,2,10,1.0
99454,0,2,10,1.0
99854,0,2,10,1.0
100254,0,2,10,1.0
100654,0,2,10,1.0
101054,0,2,10,1.0
101454,0,2,10,1.0
101854,0,2,10,1.0
102254,0,2,10,1.0
102654,0,2,10,1.0
103054,0,2,10,1.0
103454,0,2,10,1.0
103854,0,2,10,1.0
104254,0,2,10,1.0
104654,0,2,10,1.0
105054,0,2,10,1.0
105454,0,2,10,1.0
105854,0,2,10,1.0
106254,0,2,10,1.0
106654,0,2,10,1.0
107054,0,2,10,1.0
107454,0,2,10,1.0
107854,0,2,10,1.0
108254,0,2,10,1.0
108654,0,2,10,1.0
109054,0,2,10,1.0
109454,0,2,10,1.0
109854,0,2,10,1.0
110254,0,2,10,1.0
110654,0,2,10,1.0
111054,0,2,10,1.0
111454,0,2,10,1.0
111854,0,2,10,1.0
112254,0,2,10,1.0
112654,0,2,10,1.0
113054,0,2,10,1.0
113454,0,2,10,1.0
153854,0,3,20,1.0
154054,0,3,20,1.0
154254,0,3,20,1.0
154454,0,3,20,1.0
154654,0,3,20,1.0
154854,0,3,20,1.0
155054,0,3,20,1.0
155254,0,3,20,1.0
155454,0,3,20,1.0
155654,0,3,20,1.0
155854,0,3,20,1.0
156054,0,3,20,1.0
156254,0,3,20,1.0
156454,0,3,20,1.0
156654,0,3,20,1.0
156854,0,3,20,1.0
157054,0,3,20,1.0
157254,0,3,20,1.0
157454,0,3,20,1.0
157654,0,3,20,1.0
157854,0,3,20,1.0
158054,0,3,20,1.0
158254,0,3,20,1.0
158454,0,3,20,1.0
158654,0,3,20,1.0
158854,0,3,20,1.0
159054,0,3,20,1.0
159254,0,3,20,1.0
159454,0,3,20,1.0
159654,0,3,20,1.0
159854,0,3,20,1.0
160054,0,3,20,1.0
160254,0,3,20,1.0
160454,0,3,20,1.0
160654,0,3,20,1.0
160854,0,3,20,1.0
161054,0,3,20,1.0
161254,0,3,20,1.0
161454,0,3,20,1.0
161654,0,3,20,1.0
161854,0,3,20,1.0
162054,0,3,20,1.0
162254,0,3,20,1.0
162454,0,3,20,1.0
162654,0,3,20,1.0
162854,0,3,20,1.0
163054,0,3,20,1.0
163254,0,3,20,1.0
163454,0,3,20,1.0
163654,0,3,20,1.0
163854,0,3,20,1.0
164054,0,3,20,1.0
164254,0,3,20,1.0
164454,0,3,20,1.0
164654,0,3,20,1.0
164854,0,3,20,1.0
165054,0,3,20,1.0
165254,0,3,20,1.0
165454,0,3,20,1.0
165654,0,3,20,1.0
165854,0,3,20,1.0
166054,0,3,20,1.0
166254,0,3,20,1.0
166454,0,3,20,1.0
166654,0,3,20,1.0
166854,0,3,20,1.0
167054,0,3,20,1.0
167254,0,3,20,1.0
167454,0,3,20,1.0
167654,0,3,20,1.0
167854,0,3,20,1.0
168054,0,3,20,1.0
168254,0,3,20,1.0
168454,0,3,20,1.0
168654,0,3,20,1.0
168854,0,3,20,1.0
169054,0,3,20,1.0
169254,0,3,20,1.0
169454,0,3,20,1.0
