FreqPair,Paired,Metric,Comparison,Test,Statistic,p_value
10 Hz (S: 10),True,Average_PWR,Responder: t0 vs t2,Wilcoxon signed-rank,30.0,0.8310546875
10 Hz (S: 10),True,Average_PWR,Non-responder: t0 vs t2,Wilcoxon signed-rank,8.0,0.6875
10 Hz (S: 10),False,Average_PWR,Responder vs Non-responder at t0,Mann-Whitney U,30.0,0.807530704589528
10 Hz (S: 10),False,Average_PWR,Responder vs Non-responder at t2,Mann-Whitney U,27.0,0.5908209437621202
10 Hz (S: 10),True,Average_BASE,Responder: t0 vs t2,Wilcoxon signed-rank,29.0,0.7646484375
10 Hz (S: 10),True,Average_BASE,Non-responder: t0 vs t2,Wilcoxon signed-rank,10.0,1.0
10 Hz (S: 10),False,Average_BASE,Responder vs Non-responder at t0,Mann-Whitney U,40.0,0.5248868778280543
10 Hz (S: 10),False,Average_BASE,Responder vs Non-responder at t2,Mann-Whitney U,47.0,0.1801874595992243
10 Hz (S: 10),True,Average_SNR,Responder: t0 vs t2,Wilcoxon signed-rank,27.0,0.6376953125
10 Hz (S: 10),True,Average_SNR,Non-responder: t0 vs t2,Wilcoxon signed-rank,5.0,0.3125
10 Hz (S: 10),False,Average_SNR,Responder vs Non-responder at t0,Mann-Whitney U,28.0,0.6604718810601163
10 Hz (S: 10),False,Average_SNR,Responder vs Non-responder at t2,Mann-Whitney U,7.0,0.007110536522301229
12 Hz (S: 6),True,Average_PWR,Responder: t0 vs t2,Wilcoxon signed-rank,22.0,0.365234375
12 Hz (S: 6),True,Average_PWR,Non-responder: t0 vs t2,Wilcoxon signed-rank,9.0,0.84375
12 Hz (S: 6),False,Average_PWR,Responder vs Non-responder at t0,Mann-Whitney U,28.0,0.6604718810601163
12 Hz (S: 6),False,Average_PWR,Responder vs Non-responder at t2,Mann-Whitney U,32.0,0.9612152553329023
12 Hz (S: 6),True,Average_BASE,Responder: t0 vs t2,Wilcoxon signed-rank,28.0,0.7001953125
12 Hz (S: 6),True,Average_BASE,Non-responder: t0 vs t2,Wilcoxon signed-rank,6.0,0.4375
12 Hz (S: 6),False,Average_BASE,Responder vs Non-responder at t0,Mann-Whitney U,37.0,0.732546864899806
12 Hz (S: 6),False,Average_BASE,Responder vs Non-responder at t2,Mann-Whitney U,33.0,1.0
12 Hz (S: 6),True,Average_SNR,Responder: t0 vs t2,Wilcoxon signed-rank,19.0,0.240234375
12 Hz (S: 6),True,Average_SNR,Non-responder: t0 vs t2,Wilcoxon signed-rank,10.0,1.0
12 Hz (S: 6),False,Average_SNR,Responder vs Non-responder at t0,Mann-Whitney U,27.0,0.5908209437621202
12 Hz (S: 6),False,Average_SNR,Responder vs Non-responder at t2,Mann-Whitney U,34.0,0.9612152553329023
