Frequency;Harmonic;Test;paired;statistic;Critical chi-squared;p_value
6;6;Wilcoxon signed-rank;True;55.0;Non-applicable;0.328948974609375
6;12;Wilcoxon signed-rank;True;72.0;Non-applicable;0.8536376953125
6;18;Wilcoxon signed-rank;True;29.0;Non-applicable;0.023223876953125
6;24;Wilcoxon signed-rank;True;46.0;Non-applicable;0.1593780517578125
6;30;Wilcoxon signed-rank;True;35.0;Non-applicable;0.050537109375
6;36;Wilcoxon signed-rank;True;43.0;Non-applicable;0.120208740234375
10;10;Wilcoxon signed-rank;True;60.0;Non-applicable;0.4585723876953125
10;20;Wilcoxon signed-rank;True;41.0;Non-applicable;0.0983734130859375
10;30;Wilcoxon signed-rank;True;35.0;Non-applicable;0.050537109375
10;40;Wilcoxon signed-rank;True;58.0;Non-applicable;0.4037628173828125
20;20;Wilcoxon signed-rank;True;41.0;Non-applicable;0.0983734130859375
20;40;Wilcoxon signed-rank;True;58.0;Non-applicable;0.4037628173828125
