Frequency,Harmonic,Average,Fp1,Fpz,Fp2,F7,F3,Fz,F4,F8,FC5,FC1,FC2,FC6,M1,T7,C3,Cz,C4,T8,M2,CP5,CP1,CP2,CP6,P7,P3,Pz,P4,P8,POz,O1,O2,AF7,AF3,AF4,AF8,F5,F1,F2,F6,FC3,FCz,FC4,C5,C1,C2,C6,CP3,CP4,P5,P1,P2,P6,PO5,PO3,PO4,PO6,FT7,FT8,TP7,TP8,Oz
6,6,1.293,3.046,1.021,1.476,2.559,3.243,2.656,2.476,2.967,3.441,3.422,2.935,3.805,-2.278,1.395,2.634,2.549,2.920,1.506,-2.377,0.312,1.064,1.731,1.451,-2.669,-0.290,0.302,0.585,-1.524,-0.068,-1.812,-1.268,3.185,2.472,1.777,2.252,3.511,2.981,2.413,3.055,3.730,3.430,3.030,2.023,2.598,2.687,2.948,1.216,2.047,-1.226,-0.009,0.623,-0.252,-2.823,-1.275,-0.335,-1.584,1.742,2.165,-0.836,-0.426,0.541
6,12,3.396,3.983,6.769,5.141,4.924,7.073,7.288,6.672,4.144,5.840,6.852,7.505,5.507,-1.267,0.277,5.184,6.212,6.124,1.189,-3.039,-0.768,3.926,5.358,0.587,-3.075,0.607,3.323,1.716,-2.425,3.972,2.539,2.121,4.996,6.792,7.081,4.368,7.092,7.223,7.189,6.039,7.141,6.879,7.291,2.313,6.200,6.975,2.030,2.225,3.822,-1.839,2.387,3.045,-1.080,-1.967,1.246,1.571,-1.445,2.540,0.561,-2.699,-1.411,6.309
6,18,5.386,1.427,4.069,3.356,3.916,4.209,6.199,5.616,6.699,4.857,4.919,6.601,6.204,7.210,4.765,3.952,5.200,6.016,2.965,4.090,4.493,5.237,6.114,5.319,6.375,6.195,6.721,6.322,3.754,8.141,9.616,7.373,2.151,4.463,5.057,3.892,4.172,5.061,6.340,5.909,4.567,6.153,6.760,4.167,5.009,6.270,2.745,4.536,5.867,5.865,6.501,6.576,5.243,6.914,7.461,6.908,4.065,2.654,4.564,5.193,4.766,10.772
6,24,6.457,4.150,4.793,4.663,6.071,5.508,5.998,5.603,5.979,6.550,6.236,7.010,6.542,5.478,6.896,7.100,6.862,7.587,2.866,4.419,6.976,7.590,8.332,6.966,6.082,7.730,8.598,8.173,6.181,9.155,7.349,7.645,3.724,5.228,5.691,5.319,5.909,5.650,6.043,5.861,6.469,6.402,6.906,6.714,6.997,7.854,6.179,7.416,8.114,7.044,8.549,8.774,7.466,5.849,8.179,8.267,6.691,4.123,0.976,6.362,5.326,8.705
6,30,7.739,7.030,7.287,6.462,7.921,7.095,7.389,8.359,9.127,7.777,6.917,7.513,7.030,7.693,8.297,7.292,7.115,8.148,5.767,8.653,8.632,7.748,7.914,8.236,8.226,7.981,7.377,8.126,9.210,7.303,8.045,8.993,6.873,7.315,8.115,8.013,7.494,6.984,7.715,8.968,7.200,6.860,8.275,8.057,7.132,7.988,5.803,7.498,7.950,7.951,7.372,7.804,8.794,7.650,7.549,8.150,9.483,6.222,6.177,8.622,9.025,8.360
6,36,7.359,6.963,6.822,6.257,7.294,7.505,7.744,8.605,8.824,6.868,7.237,7.736,6.041,7.680,7.246,7.311,7.036,7.529,5.268,9.244,8.035,7.033,7.013,7.529,8.658,7.423,6.927,7.346,8.677,6.514,7.062,7.329,6.641,7.693,7.690,7.636,7.276,7.768,7.998,8.611,7.281,7.637,7.792,7.562,6.995,7.502,5.791,7.354,7.506,7.656,6.960,7.142,7.774,7.706,6.535,6.848,8.263,6.369,4.158,8.463,8.336,7.204
6,42,3.616,2.637,2.351,2.794,1.952,3.559,3.966,4.508,3.872,2.470,3.754,4.277,2.800,3.165,3.371,3.413,3.759,3.811,1.672,3.528,3.625,4.486,4.150,4.562,3.523,3.969,4.157,4.259,4.674,4.562,4.501,4.696,0.735,2.932,3.762,3.778,2.538,3.891,4.169,4.081,3.236,4.095,3.806,2.600,3.739,3.817,2.788,3.334,4.222,3.914,4.346,4.234,4.326,3.565,4.473,4.657,4.689,2.833,0.782,3.565,4.012,4.833
6,48,3.067,2.407,2.670,2.117,2.883,3.973,3.548,3.675,3.979,2.769,3.446,3.350,0.600,4.080,2.746,3.346,3.142,2.552,-0.122,3.418,3.393,2.946,2.887,1.907,3.064,3.247,3.386,3.857,3.801,3.720,3.632,3.888,3.176,3.568,3.177,2.560,3.795,3.517,3.568,3.982,3.440,3.259,3.153,3.619,3.092,3.261,0.678,3.352,2.972,3.052,3.038,3.186,3.314,3.034,3.358,3.706,3.882,1.970,0.068,3.216,2.740,4.025
6,54,3.686,2.197,2.232,2.402,3.110,3.858,4.511,4.578,3.451,3.585,4.197,4.700,0.922,3.895,4.369,4.175,3.762,4.645,0.537,3.716,3.753,3.978,3.901,4.004,3.810,3.829,3.647,3.966,4.082,3.711,3.597,3.860,2.039,3.326,4.117,3.506,3.337,4.299,4.609,4.230,4.270,4.257,4.142,3.392,3.785,4.373,4.902,3.935,4.315,3.777,4.007,3.777,3.667,3.534,3.895,3.769,4.421,3.661,0.629,4.090,3.793,3.993
6,60,4.490,5.530,5.695,5.828,4.241,4.769,5.468,5.358,4.514,4.446,5.185,5.018,2.046,4.003,4.325,4.892,4.946,3.814,1.041,4.198,4.781,5.077,4.771,3.210,4.456,4.668,4.778,4.492,3.932,4.419,4.237,4.737,4.176,5.768,5.800,6.935,4.657,5.731,5.337,5.075,4.734,5.024,4.039,3.939,4.446,4.522,2.210,4.509,4.225,4.690,4.739,4.472,4.074,4.435,4.777,4.700,4.047,4.519,0.236,4.559,4.261,4.373
